Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
Thomas Munz	3999	9999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Декоративная	Шнурки	28	85	6	Муж.
Thomas Munz	5199	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Шнурки	35	75	6	Муж.
Thomas Munz	9099	12999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Шнурки	24	75	6	Муж.
Thomas Munz	9099	12999	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Шнурки	24	75	6	Муж.
Thomas Munz	10499	14999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	ЭВА	Нет	Шнурки	40	75	6	Муж.
Thomas Munz	9799	13999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	45	80	6	Муж.
Thomas Munz	10499	14999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	ЭВА	Нет	Шнурки	40	75	6	Муж.
Thomas Munz	5999	14999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	ЭВА	Нет	Шнурки	33	80	6	Муж.
Thomas Munz	3999	9999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Шнурки	30	80	6	Муж.
Thomas Munz	4399	10999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Шнурки	35	85	6	Муж.
Thomas Munz	9099	12999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Декоративная	Шнурки	45	75	6	Муж.
Thomas Munz	6299	8999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Полиуретан	Нет	Молния/Шнурки	38	75	6	Муж.
Thomas Munz	3199	7999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Молния/Шнурки	25	78	6	Муж.
Thomas Munz	6999	9999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	30	75	6	Муж.
Thomas Munz	6799	16999	Черный	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Unknown	Ворсин	Резина	Нет	Шнурки	45	75	6	Муж.
Thomas Munz	3599	8999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Нет	Шнурки	28	75	6	Муж.
Thomas Munz	6999	9999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	30	75	6	Муж.
